Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Central and Eastern Winter Storm and Cold Wave (December 2022),SouthEast Climate Region,Winter Storm,20221221,20221226,8951.7,8445,87
Southern and Eastern Severe Weather (March 2023),SouthEast Climate Region,Severe Storm,20230302,20230303,6111.1,5876,13
Southern and Eastern Severe Weather (April 2023),SouthEast Climate Region,Severe Storm,20230324,20230326,2956,2815,23
Central Tornado Outbreak and Eastern Severe Weather (March 2023),SouthEast Climate Region,Severe Storm,20230331,20230401,5853.2,5628,33
Central and Eastern Severe Weather (April 2023),SouthEast Climate Region,Severe Storm,20230404,20230406,2956.1,2815,5
Fort Lauderdale Flash Flood (April 2023),SouthEast Climate Region,Flooding,20230412,20230413,1133,1100,0
Central and Southern Severe Weather (April 2023),SouthEast Climate Region,Severe Storm,20230415,20230415,1388.3,1335,0
Southern Severe Weather (April 2023),SouthEast Climate Region,Severe Storm,20230425,20230427,1372.8,1320,0
Central and Eastern Tornadoes and Hail Storms (May 2023),SouthEast Climate Region,Severe Storm,20230510,20230512,3563,3426,1
Southern Severe Weather (June 2023),SouthEast Climate Region,Severe Storm,20230611,20230614,4153.1,4032,0
Central and Southern Severe Weather (June 2023),SouthEast Climate Region,Severe Storm,20230615,20230618,3881.1,3768,5
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),SouthEast Climate Region,Severe Storm,20230621,20230626,5401.4,5244,8
Central Severe Weather (June 2023),SouthEast Climate Region,Severe Storm,20230628,20230702,1976.8,1919,3
North Central and Southeastern Severe Weather (July 2023),SouthEast Climate Region,Severe Storm,20230719,20230721,1887,1832,1
North Central and Eastern Severe Weather (July 2023),SouthEast Climate Region,Severe Storm,20230728,20230729,1526.6,1482,2
Northeastern and Eastern Severe Weather (August 2023),SouthEast Climate Region,Severe Storm,20230805,20230808,1680.2,1631,4
Hurricane Idalia (August 2023),SouthEast Climate Region,Tropical Cyclone,20230829,20230831,3559.7,3456,5
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),SouthEast Climate Region,Drought,20230401,20230930,14786.7,14082,247
East Coast Storm and Flooding (December 2023),SouthEast Climate Region,Flooding,20231216,20231218,1301.6,1276,5
Southern Tornado Outbreak and East Coast Storm (January 2024),SouthEast Climate Region,Severe Storm,20240108,20240110,2780.2,2726,3
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",SouthEast Climate Region,Winter Storm,20240114,20240118,1948.3,1910,41
Southern Severe Weather (February 2024),SouthEast Climate Region,Severe Storm,20240210,20240212,1072,1051,0
Central and Eastern Severe Weather (February 2024),SouthEast Climate Region,Severe Storm,20240227,20240228,1519.1,1504,0
Central Tornado Outbreak and Eastern Severe Weather (April 2024),SouthEast Climate Region,Severe Storm,20240401,20240403,2465.5,2441,3
Southern and Eastern Severe Weather (April 2024),SouthEast Climate Region,Severe Storm,20240408,20240411,2725.1,2698,0
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",SouthEast Climate Region,Severe Storm,20240506,20240509,6234,6234,3
Southern Severe Weather (May 2024),SouthEast Climate Region,Severe Storm,20240511,20240513,1124,1124,1
Southern Derecho (May 2024),SouthEast Climate Region,Severe Storm,20240516,20240517,1335,1335,8
"Central, Southern, Eastern Severe Weather (May 2024)",SouthEast Climate Region,Severe Storm,20240518,20240522,4859,4859,5
Central Tornado Outbreak (May 2024),SouthEast Climate Region,Severe Storm,20240525,20240526,3059,3059,16
