Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Central and Eastern Winter Storm and Cold Wave (December 2022),Great Lakes States,Winter Storm,20221221,20221226,8951.7,8445,87
Western/Central Drought and Heat Wave (2022),Great Lakes States,Drought,20220101,20221231,23480.6,20965,136
Northeastern Winter Storm/Cold Wave (February 2023),Great Lakes States,Winter Storm,20230202,20230205,1838.8,1751,1
Southern and Eastern Severe Weather (March 2023),Great Lakes States,Severe Storm,20230302,20230303,6111.1,5876,13
Southern and Eastern Severe Weather (April 2023),Great Lakes States,Severe Storm,20230324,20230326,2956,2815,23
Central Tornado Outbreak and Eastern Severe Weather (March 2023),Great Lakes States,Severe Storm,20230331,20230401,5853.2,5628,33
Central and Eastern Severe Weather (April 2023),Great Lakes States,Severe Storm,20230404,20230406,2956.1,2815,5
Central and Southern Severe Weather (April 2023),Great Lakes States,Severe Storm,20230415,20230415,1388.3,1335,0
Central Severe Weather (April 2023),Great Lakes States,Severe Storm,20230419,20230420,3078.4,2960,1
Central Severe Weather (May 2023),Great Lakes States,Severe Storm,20230506,20230508,2222.5,2137,1
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),Great Lakes States,Severe Storm,20230621,20230626,5401.4,5244,8
Central Severe Weather (June 2023),Great Lakes States,Severe Storm,20230628,20230702,1976.8,1919,3
Northeastern Flooding and North Central Severe Weather (July 2023),Great Lakes States,Flooding,20230709,20230715,2230.4,2165,10
North Central and Southeastern Severe Weather (July 2023),Great Lakes States,Severe Storm,20230719,20230721,1887,1832,1
North Central and Eastern Severe Weather (July 2023),Great Lakes States,Severe Storm,20230728,20230729,1526.6,1482,2
Northeastern and Eastern Severe Weather (August 2023),Great Lakes States,Severe Storm,20230805,20230808,1680.2,1631,4
Minnesota Hail Storms (August 2023),Great Lakes States,Severe Storm,20230811,20230811,1828.3,1775,0
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Great Lakes States,Drought,20230401,20230930,14786.7,14082,247
East Coast Storm and Flooding (December 2023),Great Lakes States,Flooding,20231216,20231218,1301.6,1276,5
Southern Tornado Outbreak and East Coast Storm (January 2024),Great Lakes States,Severe Storm,20240108,20240110,2780.2,2726,3
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Great Lakes States,Winter Storm,20240114,20240118,1948.3,1910,41
Central and Eastern Severe Weather (February 2024),Great Lakes States,Severe Storm,20240227,20240228,1519.1,1504,0
Central and Southern Severe Weather (March 2024),Great Lakes States,Severe Storm,20240312,20240314,6091.4,6031,3
Central Tornado Outbreak and Eastern Severe Weather (April 2024),Great Lakes States,Severe Storm,20240401,20240403,2465.5,2441,3
Southern and Eastern Severe Weather (April 2024),Great Lakes States,Severe Storm,20240408,20240411,2725.1,2698,0
Central and Southern Tornado Outbreak (April 2024),Great Lakes States,Severe Storm,20240426,20240428,1681,1681,3
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Great Lakes States,Severe Storm,20240506,20240509,6234,6234,3
"Central, Southern, Eastern Severe Weather (May 2024)",Great Lakes States,Severe Storm,20240518,20240522,4859,4859,5
Central Tornado Outbreak (May 2024),Great Lakes States,Severe Storm,20240525,20240526,3059,3059,16
Central and Eastern Severe Weather (June 2024),Great Lakes States,Severe Storm,20240612,20240614,1228,1228,0
Central and Northeast Severe Weather (June 2024),Great Lakes States,Severe Storm,20240624,20240626,1209,1209,3
Hurricane Beryl (July 2024),Great Lakes States,Tropical Cyclone,20240708,20240708,6002,6002,37
