Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),Central Climate Regiion,Drought,20230401,20230930,14786.7,14082,247
Southern Tornado Outbreak and East Coast Storm (January 2024),Central Climate Regiion,Severe Storm,20240108,20240110,2780.2,2726,3
"Central, Southern, Northeastern Winter Storm and Cold Wave (January 2024)",Central Climate Regiion,Winter Storm,20240114,20240118,1948.3,1910,41
Central and Eastern Severe Weather (February 2024),Central Climate Regiion,Severe Storm,20240227,20240228,1519.1,1504,0
Central and Southern Severe Weather (March 2024),Central Climate Regiion,Severe Storm,20240312,20240314,6091.4,6031,3
Central Tornado Outbreak and Eastern Severe Weather (April 2024),Central Climate Regiion,Severe Storm,20240401,20240403,2465.5,2441,3
Southern and Eastern Severe Weather (April 2024),Central Climate Regiion,Severe Storm,20240408,20240411,2725.1,2698,0
Central and Southern Tornado Outbreak (April 2024),Central Climate Regiion,Severe Storm,20240426,20240428,1681,1681,3
"Central, Southern, Southeastern Tornado Outbreak (May 2024)",Central Climate Regiion,Severe Storm,20240506,20240509,6234,6234,3
"Central, Southern, Eastern Severe Weather (May 2024)",Central Climate Regiion,Severe Storm,20240518,20240522,4859,4859,5
Central Tornado Outbreak (May 2024),Central Climate Regiion,Severe Storm,20240525,20240526,3059,3059,16
Central and Eastern Severe Weather (June 2024),Central Climate Regiion,Severe Storm,20240612,20240614,1228,1228,0
Central and Northeast Severe Weather (June 2024),Central Climate Regiion,Severe Storm,20240624,20240626,1209,1209,3
Hurricane Beryl (July 2024),Central Climate Regiion,Tropical Cyclone,20240708,20240708,6002,6002,37
